RAIdx,OpenFlag,Type,MAIndex,Offset,Pointer,FFN,MFN
[0],0,0,0,0,0x0000,,BB1A9F3B.272
[1],0,0,1,0,0x0000,,17A67BD2.273
[2],0,0,2,0,0x0000,,BA48280E.032
[3],0,0,3,0,0x0000,,BDC6EBCA.036
[4],0,0,4,0,0x0000,,BDC6EBCA.037
[5],0,0,5,0,0x0000,,BDC6EBCA.038
[6],0,0,6,0,0x0000,,5852BAB0.043
[7],0,0,7,0,0x0000,,D1695146.052
[8],0,0,8,0,0x0000,,DC902835.257
[9],0,0,9,0,0x0000,,9E7094CC.257
[10],0,0,10,0,0x0000,,902E85E2.274
[11],0,0,11,0,0x0000,,F3899008.034
[12],0,0,12,0,0x0000,,3E5605BA.051
[13],0,0,13,0,0x0000,,56E2B4B0.257
[14],0,0,14,0,0x0000,,989C1F40.257
[15],0,0,15,0,0x0000,,D19FB015.034
[16],0,0,16,0,0x0000,,77A54382.051
[17],0,0,17,0,0x0000,,7DDB39D7.257
[18],0,0,18,0,0x0000,,4915E882.034
[19],0,0,19,0,0x0000,,A7196429.051
[20],0,0,20,0,0x0000,,7C7EDCA7.257
[21],0,0,21,0,0x0000,,FE05B2EC.034
[22],0,0,22,0,0x0000,,81BCCEC4.051
[23],0,0,23,0,0x0000,,99D19FF1.257
[24],0,0,24,0,0x0000,,916684CA.274
[25],0,0,25,0,0x0000,,B776B9C4.034
[26],0,0,26,0,0x0000,,931033B7.051
[27],0,0,27,0,0x0000,,EE95896A.257
[28],0,0,28,0,0x0000,,A098F257.257
[29],0,0,29,0,0x0000,,9EC900A6.034
[30],0,0,30,0,0x0000,,CEF248D7.051
[31],0,0,31,0,0x0000,,69FD1C39.257
[32],0,0,32,0,0x0000,,2E72E4F3.257
[33],0,0,33,0,0x0000,,461D108A.257
[34],0,0,34,0,0x0000,,B8D87E56.257
[35],0,0,35,0,0x0000,,54977BE0.257
