[SRM] 1 - [CT]
CT,TableSize,UsedSize,ResCnt,ResLoadFlag
[1],264,24,2,0
,Index,TicketNo,Dummy,Pointer,FN,Type,Size
,[0],44,0,0x4709358,CD86BC80.032,LSC,9216
,[1],45,0,0x2543928,BD801007.257,API1,64
[2],264,24,2,0
,Index,TicketNo,Dummy,Pointer,FN,Type,Size
,[0],46,0,0x470b788,D7C20227.032,LSC,9216
,[1],45,0,0x2543928,BD801007.257,API1,64
[3],264,24,2,0
,Index,TicketNo,Dummy,Pointer,FN,Type,Size
,[0],47,0,0x46e7f08,2680AE23.032,LSC,9216
,[1],45,0,0x2543928,BD801007.257,API1,64
[4],264,24,2,0
,Index,TicketNo,Dummy,Pointer,FN,Type,Size
,[0],47,0,0x46e7f08,2680AE23.032,LSC,9216
,[1],45,0,0x2543928,BD801007.257,API1,64
[5],264,24,2,0
,Index,TicketNo,Dummy,Pointer,FN,Type,Size
,[0],48,0,0x46ea338,61219682.032,LSC,9216
,[1],45,0,0x2543928,BD801007.257,API1,64
[6],264,24,2,0
,Index,TicketNo,Dummy,Pointer,FN,Type,Size
,[0],49,0,0x46ec768,CF4C2241.032,LSC,9216
,[1],45,0,0x2543928,BD801007.257,API1,64
