164F	1282	0F10	0BFC	094B	06FD	0511	0381	0240	013F	0065	FF9B	FEC1	FDC0	FC7F	FAEF	F903	F6B5	F404	F0F0	ED7E	E9B1	
1555	1186	0E14	0B05	085E	0620	044C	02DC	01C3	00F0	004B	FFB5	FF10	FE3D	FD24	FBB4	F9E0	F7A2	F4FB	F1EC	EE7A	EAAB	
147F	10AC	0D3A	0A2D	078D	055C	039C	0247	0151	00A9	0032	FFCE	FF57	FEAF	FDB9	FC64	FAA4	F873	F5D3	F2C6	EF54	EB81	
13D1	0FFC	0C87	097C	06E0	04B9	0308	01C9	00F1	006C	001D	FFE3	FF94	FF0F	FE37	FCF8	FB47	F920	F684	F379	F004	EC2F	
1353	0F7A	0C04	08F9	0660	043F	0299	016A	00A7	003D	000D	FFF3	FFC3	FF59	FE96	FD67	FBC1	F9A0	F707	F3FC	F086	ECAD	
1307	0F2C	0BB5	08AA	0612	03F5	0255	012F	007A	0020	0003	FFFD	FFE0	FF86	FED1	FDAB	FC0B	F9EE	F756	F44B	F0D4	ECF9	
12F1	0F16	0B9E	0893	05FC	03DF	0241	011E	006D	0018	0000	0000	FFE8	FF93	FEE2	FDBF	FC21	FA04	F76D	F462	F0EA	ED0F	
1311	0F37	0BC0	08B5	061D	03FF	025E	0137	0080	0024	0005	FFFB	FFDC	FF80	FEC9	FDA2	FC01	F9E3	F74B	F440	F0C9	ECEF	
1367	0F8F	0C19	090E	0675	0453	02AB	0179	00B3	0045	0010	FFF0	FFBB	FF4D	FE87	FD55	FBAD	F98B	F6F2	F3E7	F071	EC99	
13EE	1019	0CA5	099A	06FE	04D5	0321	01DE	0101	0076	0021	FFDF	FF8A	FEFF	FE22	FCDF	FB2B	F902	F666	F35B	EFE7	EC12	
14A4	10D2	0D60	0A53	07B2	057F	03BB	0261	0166	00B6	0037	FFC9	FF4A	FE9A	FD9F	FC45	FA81	F84E	F5AD	F2A0	EF2E	EB5C	
1582	11B3	0E41	0B31	0888	0648	0470	02F9	01DA	00FF	004F	FFB1	FF01	FE26	FD07	FB90	F9B8	F778	F4CF	F1BF	EE4D	EA7E	
1682	12B5	0F42	0C2D	097A	0729	0538	03A1	0259	014E	006B	FF95	FEB2	FDA7	FC5F	FAC8	F8D7	F686	F3D3	F0BE	ED4B	E97E	

0FB0	0E8A	0D5F	0C34	0B0D	09F2	08EB	0803	0747	06C2	067D	067D	06C2	0747	0803	08EB	09F2	0B0D	0C34	0D5F	0E8A	0FB0	
0C87	0B82	0A77	0968	085B	0755	0660	0586	04D2	0452	040F	040F	0452	04D2	0586	0660	0755	085B	0968	0A77	0B82	0C87	
09A1	08C5	07E2	06FA	0610	052C	0453	038F	02ED	0277	023A	023A	0277	02ED	038F	0453	052C	0610	06FA	07E2	08C5	09A1	
06F5	0649	0596	04DF	0425	036D	02BD	021C	0195	0132	00FE	00FE	0132	0195	021C	02BD	036D	0425	04DF	0596	0649	06F5	
0476	0401	0388	030A	0289	0209	018D	011B	00BB	0074	004E	004E	0074	00BB	011B	018D	0209	0289	030A	0388	0401	0476	
0217	01DF	01A3	0166	0127	00E8	00AA	0072	0041	001D	000A	000A	001D	0041	0072	00AA	00E8	0127	0166	01A3	01DF	0217	
FFC9	FFCF	FFD5	FFDC	FFE2	FFE9	FFEF	FFF5	FFFA	FFFE	0000	0000	FFFE	FFFA	FFF5	FFEF	FFE9	FFE2	FFDC	FFD5	FFCF	FFC9	
FD79	FDBD	FE04	FE4E	FE9A	FEE5	FF2F	FF73	FFAD	FFD8	FFEF	FFEF	FFD8	FFAD	FF73	FF2F	FEE5	FE9A	FE4E	FE04	FDBD	FD79	
FB15	FB95	FC19	FCA3	FD2E	FDBA	FE41	FEBC	FF25	FF72	FF9A	FF9A	FF72	FF25	FEBC	FE41	FDBA	FD2E	FCA3	FC19	FB95	FB15	
F88F	F944	FA01	FAC2	FB85	FC47	FD00	FDA8	FE35	FE9C	FED2	FED2	FE9C	FE35	FDA8	FD00	FC47	FB85	FAC2	FA01	F944	F88F	
F5D8	F6BD	F7A8	F898	F989	FA75	FB54	FC1D	FCC3	FD3B	FD7A	FD7A	FD3B	FCC3	FC1D	FB54	FA75	F989	F898	F7A8	F6BD	F5D8	
F2E6	F3F2	F504	F619	F72C	F836	F92F	FA0D	FAC3	FB44	FB88	FB88	FB44	FAC3	FA0D	F92F	F836	F72C	F619	F504	F3F2	F2E6	
EFB1	F0DC	F20B	F33B	F466	F584	F68D	F776	F833	F8B9	F8FE	F8FE	F8B9	F833	F776	F68D	F584	F466	F33B	F20B	F0DC	EFB1	
