WorkingDir,Type,Select,nZ/SRM,nY/CT,nX/ISO,LV,ZOOM,FifName,FileName,ResId,CheckSum,TicketNo
,Normal,ISO,0,0,0,0,0,,BB1A9F3B.272,272(0x110),0xbb1a9f3b,0
,Normal,CT,0,0,0,0,0,,17A67BD2.273,273(0x111),0x17a67bd2,1
,Normal,CT,0,0,0,0,0,,BA48280E.032,32(0x20),0xba48280e,2
,Normal,ISO,0,0,0,0,0,,BDC6EBCA.036,36(0x24),0xbdc6ebca,3
,Normal,ISO,0,0,0,0,0,,BDC6EBCA.037,37(0x25),0xbdc6ebca,4
,Normal,ISO,0,0,0,0,0,,BDC6EBCA.038,38(0x26),0xbdc6ebca,5
,Normal,CT,0,0,0,0,0,,5852BAB0.043,43(0x2b),0x5852bab0,6
,Normal,ISO,0,0,0,0,0,,D1695146.052,52(0x34),0xd1695146,7
,Normal,ISO,0,0,0,0,0,,DC902835.257,257(0x101),0xdc902835,8
,Normal,CT,0,0,0,0,0,,9E7094CC.257,257(0x101),0x9e7094cc,9
,Normal,ISO,1,6,1,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,1,6,1,0,0,,F3899008.034,34(0x22),0xf3899008,11
,Normal,ISO,1,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,12
,Normal,ISO,1,6,1,0,0,,56E2B4B0.257,257(0x101),0x56e2b4b0,13
,Normal,ISO,1,6,2,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,1,6,2,0,0,,F3899008.034,34(0x22),0xf3899008,11
,Normal,ISO,1,6,2,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,12
,Normal,ISO,1,6,2,0,0,,989C1F40.257,257(0x101),0x989c1f40,14
,Normal,ISO,1,6,3,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,1,6,3,0,0,,D19FB015.034,34(0x22),0xd19fb015,15
,Normal,ISO,1,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,16
,Normal,ISO,1,6,3,0,0,,7DDB39D7.257,257(0x101),0x7ddb39d7,17
,Normal,ISO,1,6,4,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,1,6,4,0,0,,4915E882.034,34(0x22),0x4915e882,18
,Normal,ISO,1,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,19
,Normal,ISO,1,6,4,0,0,,7C7EDCA7.257,257(0x101),0x7c7edca7,20
,Normal,ISO,1,6,5,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,1,6,5,0,0,,FE05B2EC.034,34(0x22),0xfe05b2ec,21
,Normal,ISO,1,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,22
,Normal,ISO,1,6,5,0,0,,99D19FF1.257,257(0x101),0x99d19ff1,23
,Normal,ISO,1,6,6,0,0,,916684CA.274,274(0x112),0x916684ca,24
,Normal,ISO,1,6,6,0,0,,B776B9C4.034,34(0x22),0xb776b9c4,25
,Normal,ISO,1,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,26
,Normal,ISO,1,6,6,0,0,,EE95896A.257,257(0x101),0xee95896a,27
,Normal,ISO,2,6,1,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,2,6,1,0,0,,F3899008.034,34(0x22),0xf3899008,11
,Normal,ISO,2,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,12
,Normal,ISO,2,6,1,0,0,,A098F257.257,257(0x101),0xa098f257,28
,Normal,ISO,2,6,2,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,2,6,2,0,0,,9EC900A6.034,34(0x22),0x9ec900a6,29
,Normal,ISO,2,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,30
,Normal,ISO,2,6,2,0,0,,69FD1C39.257,257(0x101),0x69fd1c39,31
,Normal,ISO,2,6,3,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,2,6,3,0,0,,D19FB015.034,34(0x22),0xd19fb015,15
,Normal,ISO,2,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,16
,Normal,ISO,2,6,3,0,0,,2E72E4F3.257,257(0x101),0x2e72e4f3,32
,Normal,ISO,2,6,4,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,2,6,4,0,0,,4915E882.034,34(0x22),0x4915e882,18
,Normal,ISO,2,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,19
,Normal,ISO,2,6,4,0,0,,461D108A.257,257(0x101),0x461d108a,33
,Normal,ISO,2,6,5,0,0,,902E85E2.274,274(0x112),0x902e85e2,10
,Normal,ISO,2,6,5,0,0,,FE05B2EC.034,34(0x22),0xfe05b2ec,21
,Normal,ISO,2,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,22
,Normal,ISO,2,6,5,0,0,,B8D87E56.257,257(0x101),0xb8d87e56,34
,Normal,ISO,2,6,6,0,0,,916684CA.274,274(0x112),0x916684ca,24
,Normal,ISO,2,6,6,0,0,,B776B9C4.034,34(0x22),0xb776b9c4,25
,Normal,ISO,2,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,26
,Normal,ISO,2,6,6,0,0,,54977BE0.257,257(0x101),0x54977be0,35
