0487	01DB	FFA2	FDE4	FCA8	FBF3	FBC3	FC13	FCD6	FDF3	FF4A	00B6	020D	032A	03ED	043D	040D	0358	021C	005E	FE25	FB79	
0339	0086	FE4B	FC8F	FB5C	FAB9	FAA7	FB23	FC1D	FD7E	FF23	00DD	0282	03E3	04DD	0559	0547	04A4	0371	01B5	FF7A	FCC7	
0219	FF5F	FD1E	FB62	FA35	F99F	F9A6	FA45	FB72	FD11	FEFD	0103	02EF	048E	05BB	065A	0661	05CB	049E	02E2	00A1	FDE7	
0130	FE6E	FC27	FA69	F93E	F8B2	F8CA	F988	FADE	FCB3	FEDD	0123	034D	0522	0678	0736	074E	06C2	0597	03D9	0192	FED0	
0084	FDBC	FB71	F9AF	F885	F7FE	F823	F8F5	FA6B	FC69	FEC3	013D	0397	0595	070B	07DD	0802	077B	0651	048F	0244	FF7C	
001E	FD52	FB02	F93F	F814	F790	F7BC	F89B	FA23	FC3A	FEB3	014D	03C6	05DD	0765	0844	0870	07EC	06C1	04FE	02AE	FFE2	
0000	FD32	FAE2	F91E	F7F3	F770	F79E	F880	FA0D	FC2C	FEAE	0152	03D4	05F3	0780	0862	0890	080D	06E2	051E	02CE	0000	
002C	FD60	FB11	F94E	F824	F79F	F7CA	F8A7	FA2D	FC41	FEB5	014B	03BF	05D3	0759	0836	0861	07DC	06B2	04EF	02A0	FFD4	
009F	FDD8	FB8E	F9CD	F8A3	F81B	F83E	F90D	FA7D	FC75	FEC7	0139	038B	0583	06F3	07C2	07E5	075D	0633	0472	0228	FF61	
0157	FE97	FC51	FA93	F968	F8DA	F8F0	F9A8	FAF7	FCC3	FEE2	011E	033D	0509	0658	0710	0726	0698	056D	03AF	0169	FEA9	
024B	FF93	FD53	FB97	FA69	F9D1	F9D3	FA6D	FB90	FD25	FF04	00FC	02DB	0470	0593	062D	062F	0597	0469	02AD	006D	FDB5	
0375	00C3	FE88	FCCC	FB98	FAF2	FADB	FB4E	FC3F	FD94	FF2A	00D6	026C	03C1	04B2	0525	050E	0468	0334	0178	FF3D	FC8B	
04CA	021F	FFE6	FE28	FCEA	FC30	FBFA	FC42	FCF9	FE09	FF52	00AE	01F7	0307	03BE	0406	03D0	0316	01D8	001A	FDE1	FB36	

0E51	0CC3	0B21	0971	07B7	05FD	0453	02CC	0182	0090	0010	0010	0090	0182	02CC	0453	05FD	07B7	0971	0B21	0CC3	0E51	
0B38	09D0	0852	06C1	0520	0378	01D6	004D	FEFA	FDFD	FD74	FD74	FDFD	FEFA	004D	01D6	0378	0520	06C1	0852	09D0	0B38	
0876	0741	05F7	0496	0323	01A0	001B	FEA4	FD56	FC57	FBCA	FBCA	FC57	FD56	FEA4	001B	01A0	0323	0496	05F7	0741	0876	
0601	050E	0406	02EA	01B9	0076	FF2A	FDE0	FCB2	FBC4	FB3E	FB3E	FBC4	FCB2	FDE0	FF2A	0076	01B9	02EA	0406	050E	0601	
03CC	0325	026F	01A9	00D1	FFEB	FEF7	FE00	FD16	FC58	FBEB	FBEB	FC58	FD16	FE00	FEF7	FFEB	00D1	01A9	026F	0325	03CC	
01C4	0172	0119	00B7	004C	FFD8	FF5C	FEDC	FE60	FDF9	FDBC	FDBC	FDF9	FE60	FEDC	FF5C	FFD8	004C	00B7	0119	0172	01C4	
FFD2	FFDB	FFE4	FFEE	FFF9	0005	0012	001F	002D	0038	003E	003E	0038	002D	001F	0012	0005	FFF9	FFEE	FFE4	FFDB	FFD2	
FDDD	FE3F	FEAB	FF20	FFA1	002B	00C0	0159	01EC	0266	02AE	02AE	0266	01EC	0159	00C0	002B	FFA1	FF20	FEAB	FE3F	FDDD	
FBCE	FC84	FD4A	FE22	FF0C	0005	010D	0216	0310	03DA	044E	044E	03DA	0310	0216	010D	0005	FF0C	FE22	FD4A	FC84	FBCE	
F98E	FA8F	FBA4	FCCF	FE0E	FF5F	00B8	020D	0344	0437	04BF	04BF	0437	0344	020D	00B8	FF5F	FE0E	FCCF	FBA4	FA8F	F98E	
F70C	F84B	F9A1	FB0C	FC89	FE15	FFA2	011D	026E	036E	03FA	03FA	036E	026E	011D	FFA2	FE15	FC89	FB0C	F9A1	F84B	F70C	
F43A	F5AB	F730	F8C8	FA6F	FC1C	FDC1	FF4B	009C	0198	0220	0220	0198	009C	FF4B	FDC1	FC1C	FA6F	F8C8	F730	F5AB	F43A	
F110	F2A4	F44B	F600	F7BD	F977	FB21	FCA7	FDEE	FEDD	FF5B	FF5B	FEDD	FDEE	FCA7	FB21	F977	F7BD	F600	F44B	F2A4	F110	
