0B27	0904	0724	0588	042C	030F	022A	0177	00ED	0081	0029	FFD7	FF7F	FF13	FE89	FDD6	FCF1	FBD4	FA78	F8DC	F6FC	F4D9	
0A85	0867	068E	04FB	03AC	029D	01C9	0129	00B3	005E	001D	FFE3	FFA2	FF4D	FED7	FE37	FD63	FC54	FB05	F972	F799	F57B	
09FC	07E2	0610	0485	033F	023C	0176	00E6	0082	0040	0013	FFED	FFC0	FF7E	FF1A	FE8A	FDC4	FCC1	FB7B	F9F0	F81E	F604	
0990	0779	05AB	0426	02E8	01EE	0133	00B0	005A	0028	000A	FFF6	FFD8	FFA6	FF50	FECD	FE12	FD18	FBDA	FA55	F887	F670	
0942	072D	0562	03E1	02A9	01B6	0103	0088	003D	0016	0004	FFFC	FFEA	FFC3	FF78	FEFD	FE4A	FD57	FC1F	FA9E	F8D3	F6BE	
0914	0700	0537	03B9	0283	0194	00E6	0071	002C	000B	0001	FFFF	FFF5	FFD4	FF8F	FF1A	FE6C	FD7D	FC47	FAC9	F900	F6EC	
0906	06F3	052B	03AD	0278	018A	00DD	006A	0027	0008	0000	0000	FFF8	FFD9	FF96	FF23	FE76	FD88	FC53	FAD5	F90D	F6FA	
091A	0706	053D	03BE	0288	0199	00EA	0074	002E	000D	0001	FFFF	FFF3	FFD2	FF8C	FF16	FE67	FD78	FC42	FAC3	F8FA	F6E6	
094E	0739	056E	03EC	02B3	01BF	010A	008F	0042	0019	0005	FFFB	FFE7	FFBE	FF71	FEF6	FE41	FD4D	FC14	FA92	F8C7	F6B2	
09A2	078B	05BC	0436	02F7	01FB	013E	00B9	0061	002C	000C	FFF4	FFD4	FF9F	FF47	FEC2	FE05	FD09	FBCA	FA44	F875	F65E	
0A14	07F9	0626	0499	0352	024D	0184	00F1	008A	0045	0014	FFEC	FFBB	FF76	FF0F	FE7C	FDB3	FCAE	FB67	F9DA	F807	F5EC	
0AA2	0882	06A9	0514	03C3	02B1	01DA	0137	00BE	0064	001F	FFE1	FF9C	FF42	FEC9	FE26	FD4F	FC3D	FAEC	F957	F77E	F55E	
0B49	0924	0742	05A4	0446	0326	023E	0187	00F9	0089	002B	FFD5	FF77	FF07	FE79	FDC2	FCDA	FBBA	FA5C	F8BE	F6DC	F4B7	

0646	059A	04F6	045B	03CB	0349	02D8	027A	0231	01FF	01E6	01E6	01FF	0231	027A	02D8	0349	03CB	045B	04F6	059A	0646	
04EA	0456	03C9	0342	02C5	0255	01F2	01A0	0160	0135	011F	011F	0135	0160	01A0	01F2	0255	02C5	0342	03C9	0456	04EA	
03B7	033E	02C9	025A	01F3	0196	0144	0100	00CB	00A7	0095	0095	00A7	00CB	0100	0144	0196	01F3	025A	02C9	033E	03B7	
02A5	0249	01F0	019B	014C	0105	00C6	0092	0069	004D	003F	003F	004D	0069	0092	00C6	0105	014C	019B	01F0	0249	02A5	
01AE	0170	0135	00FC	00C7	0097	006D	004A	002F	001C	0012	0012	001C	002F	004A	006D	0097	00C7	00FC	0135	0170	01AE	
00C8	00AB	008E	0073	0059	0042	002E	001D	0010	0007	0002	0002	0007	0010	001D	002E	0042	0059	0073	008E	00AB	00C8	
FFEC	FFEF	FFF2	FFF5	FFF7	FFFA	FFFC	FFFE	FFFF	0000	0000	0000	0000	FFFF	FFFE	FFFC	FFFA	FFF7	FFF5	FFF2	FFEF	FFEC	
FF0E	FF31	FF54	FF75	FF93	FFAF	FFC8	FFDC	FFEC	FFF7	FFFC	FFFC	FFF7	FFEC	FFDC	FFC8	FFAF	FF93	FF75	FF54	FF31	FF0E	
FE25	FE69	FEAA	FEE8	FF22	FF56	FF84	FFAB	FFC9	FFDD	FFE8	FFE8	FFDD	FFC9	FFAB	FF84	FF56	FF22	FEE8	FEAA	FE69	FE25	
FD2A	FD8C	FDEA	FE44	FE97	FEE3	FF25	FF5D	FF88	FFA5	FFB4	FFB4	FFA5	FF88	FF5D	FF25	FEE3	FE97	FE44	FDEA	FD8C	FD2A	
FC12	FC91	FD0A	FD7E	FDE9	FE4A	FE9F	FEE6	FF1D	FF43	FF56	FF56	FF43	FF1D	FEE6	FE9F	FE4A	FDE9	FD7E	FD0A	FC91	FC12	
FAD8	FB70	FC03	FC8D	FD0E	FD82	FDE7	FE3C	FE7D	FEAA	FEC1	FEC1	FEAA	FE7D	FE3C	FDE7	FD82	FD0E	FC8D	FC03	FB70	FAD8	
F974	FA23	FACC	FB6B	FBFE	FC83	FCF6	FD56	FDA1	FDD4	FDED	FDED	FDD4	FDA1	FD56	FCF6	FC83	FBFE	FB6B	FACC	FA23	F974	
