03B8	0182	FFB4	FE51	FD5C	FCD4	FCB7	FCFC	FD96	FE71	FF77	0089	018F	026A	0304	0349	032C	02A4	01AF	004C	FE7E	FC48	
02A3	006C	FEA2	FD46	FC5E	FBEA	FBE8	FC50	FD14	FE20	FF5B	00A5	01E0	02EC	03B0	0418	0416	03A2	02BA	015E	FF94	FD5D	
01B5	FF7F	FDB4	FC5E	FB80	FB1C	FB30	FBB6	FCA0	FDD8	FF42	00BE	0228	0360	044A	04D0	04E4	0480	03A2	024C	0081	FE4B	
00F6	FEBE	FCF4	FBA0	FAC9	FA71	FA98	FB36	FC3E	FD9B	FF2E	00D2	0265	03C2	04CA	0568	058F	0537	0460	030C	0142	FF0A	
006B	FE31	FC66	FB15	FA43	F9F3	FA26	FAD6	FBF5	FD6D	FF1E	00E2	0293	040B	052A	05DA	060D	05BD	04EB	039A	01CF	FF95	
0018	FDDC	FC12	FAC1	F9F1	F9A6	F9E1	FA9C	FBC8	FD51	FF14	00EC	02AF	0438	0564	061F	065A	060F	053F	03EE	0224	FFE8	
0000	FDC4	FBF9	FAA8	F9D9	F990	F9CD	FA8A	FBBB	FD48	FF11	00EF	02B8	0445	0576	0633	0670	0627	0558	0407	023C	0000	
0023	FDE8	FC1D	FACC	F9FC	F9B1	F9EA	FAA3	FBCE	FD54	FF16	00EA	02AC	0432	055D	0616	064F	0604	0534	03E3	0218	FFDD	
0081	FE47	FC7D	FB2B	FA58	FA07	FA38	FAE5	FC01	FD74	FF20	00E0	028C	03FF	051B	05C8	05F9	05A8	04D5	0383	01B9	FF7F	
0116	FEDE	FD14	FBC0	FAE8	FA8E	FAB2	FB4C	FC4F	FDA5	FF31	00CF	025B	03B1	04B4	054E	0572	0518	0440	02EC	0122	FEEA	
01DE	FFA8	FDDE	FC86	FBA6	FB40	FB50	FBD1	FCB4	FDE5	FF47	00B9	021B	034C	042F	04B0	04C0	045A	037A	0222	0058	FE22	
02D4	009E	FED3	FD76	FC8B	FC14	FC0D	FC6F	FD2B	FE2F	FF60	00A0	01D1	02D5	0391	03F3	03EC	0375	028A	012D	FF62	FD2C	
03F0	01BA	FFEB	FE86	FD8E	FD03	FCE0	FD1E	FDAF	FE81	FF7C	0084	017F	0251	02E2	0320	02FD	0272	017A	0015	FE46	FC10	

0C89	0B17	0998	0811	0688	0506	0397	024D	013B	0075	000D	000D	0075	013B	024D	0397	0506	0688	0811	0998	0B17	0C89	
09C9	087D	0722	05BB	044E	02E1	0181	003E	FF2F	FE67	FDFD	FDFD	FE67	FF2F	003E	0181	02E1	044E	05BB	0722	087D	09C9	
075A	0640	0516	03DE	029C	0156	0015	FEEB	FDE9	FD29	FCC2	FCC2	FD29	FDE9	FEEB	0015	0156	029C	03DE	0516	0640	075A	
0534	0456	036A	0271	016C	0060	FF55	FE56	FD76	FCCD	FC70	FC70	FCCD	FD76	FE56	FF55	0060	016C	0271	036A	0456	0534	
0349	02B1	020F	0162	00AC	FFEF	FF2F	FE75	FDCF	FD4E	FD07	FD07	FD4E	FDCF	FE75	FF2F	FFEF	00AC	0162	020F	02B1	0349	
0186	013C	00ED	0098	003E	FFE0	FF80	FF21	FECB	FE88	FE63	FE63	FE88	FECB	FF21	FF80	FFE0	003E	0098	00ED	013C	0186	
FFD8	FFE0	FFE8	FFF1	FFFB	0004	000E	0018	0021	0028	002C	002C	0028	0021	0018	000E	0004	FFFB	FFF1	FFE8	FFE0	FFD8	
FE28	FE80	FEE0	FF46	FFB2	0022	0096	0107	016E	01BE	01EA	01EA	01BE	016E	0107	0096	0022	FFB2	FF46	FEE0	FE80	FE28	
FC5F	FD04	FDB5	FE71	FF37	0004	00D4	019D	0250	02DA	0326	0326	02DA	0250	019D	00D4	0004	FF37	FE71	FDB5	FD04	FC5F	
FA6A	FB54	FC4C	FD52	FE64	FF7D	0093	019C	0284	0333	0393	0393	0333	0284	019C	0093	FF7D	FE64	FD52	FC4C	FB54	FA6A	
F837	F95C	FA90	FBD1	FD1D	FE6C	FFB4	00E4	01EA	02AC	0314	0314	02AC	01EA	00E4	FFB4	FE6C	FD1D	FBD1	FA90	F95C	F837	
F5BA	F70E	F870	F9DE	FB52	FCC4	FE28	FF6D	007E	0145	01AF	01AF	0145	007E	FF6D	FE28	FCC4	FB52	F9DE	F870	F70E	F5BA	
F2EA	F461	F5E5	F771	F8FE	FA83	FBF2	FD3D	FE4E	FF13	FF7A	FF7A	FF13	FE4E	FD3D	FBF2	FA83	F8FE	F771	F5E5	F461	F2EA	
