WorkingDir,Type,Select,nZ/SRM,nY/CT,nX/ISO,LV,ZOOM,FifName,FileName,ResId,CheckSum,TicketNo
,Normal,ISO,0,0,0,0,0,,BB1A9F3B.272,272(0x110),0xbb1a9f3b,0
,Normal,CT,0,0,0,0,0,,97FA7C92.273,273(0x111),0x97fa7c92,1
,Normal,CT,0,0,0,0,0,,F1E16EA0.032,32(0x20),0xf1e16ea0,2
,Normal,ISO,0,0,0,0,0,,BDC6EBCA.036,36(0x24),0xbdc6ebca,3
,Normal,ISO,0,0,0,0,0,,BDC6EBCA.037,37(0x25),0xbdc6ebca,4
,Normal,ISO,0,0,0,0,0,,BDC6EBCA.038,38(0x26),0xbdc6ebca,5
,Normal,ISO,0,0,0,0,0,,D1695146.052,52(0x34),0xd1695146,6
,Normal,ISO,0,0,0,0,0,,AA8D859D.257,257(0x101),0xaa8d859d,7
,Normal,CT,0,0,0,0,0,,E0185A7E.257,257(0x101),0xe0185a7e,8
,Normal,ISO,1,6,1,0,0,,F3899008.034,34(0x22),0xf3899008,9
,Normal,ISO,1,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,10
,Normal,ISO,1,6,1,0,0,,E07DDEC7.257,257(0x101),0xe07ddec7,11
,Normal,ISO,1,6,2,0,0,,9EC900A6.034,34(0x22),0x9ec900a6,12
,Normal,ISO,1,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,13
,Normal,ISO,1,6,2,0,0,,5A7EABF3.257,257(0x101),0x5a7eabf3,14
,Normal,ISO,1,6,3,0,0,,D19FB015.034,34(0x22),0xd19fb015,15
,Normal,ISO,1,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,16
,Normal,ISO,1,6,3,0,0,,49840BCB.257,257(0x101),0x49840bcb,17
,Normal,ISO,1,6,4,0,0,,4915E882.034,34(0x22),0x4915e882,18
,Normal,ISO,1,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,19
,Normal,ISO,1,6,4,0,0,,957BAFE0.257,257(0x101),0x957bafe0,20
,Normal,ISO,1,6,5,0,0,,FE05B2EC.034,34(0x22),0xfe05b2ec,21
,Normal,ISO,1,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,22
,Normal,ISO,1,6,5,0,0,,4149D5A7.257,257(0x101),0x4149d5a7,23
,Normal,ISO,1,6,6,0,0,,B776B9C4.034,34(0x22),0xb776b9c4,24
,Normal,ISO,1,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,25
,Normal,ISO,1,6,6,0,0,,020EC527.257,257(0x101),0x020ec527,26
,Normal,ISO,2,6,1,0,0,,F3899008.034,34(0x22),0xf3899008,9
,Normal,ISO,2,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,10
,Normal,ISO,2,6,1,0,0,,C54DC3E8.257,257(0x101),0xc54dc3e8,27
,Normal,ISO,2,6,2,0,0,,9EC900A6.034,34(0x22),0x9ec900a6,12
,Normal,ISO,2,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,13
,Normal,ISO,2,6,2,0,0,,79CAB197.257,257(0x101),0x79cab197,28
,Normal,ISO,2,6,3,0,0,,D19FB015.034,34(0x22),0xd19fb015,15
,Normal,ISO,2,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,16
,Normal,ISO,2,6,3,0,0,,7DE3B13A.257,257(0x101),0x7de3b13a,29
,Normal,ISO,2,6,4,0,0,,4915E882.034,34(0x22),0x4915e882,18
,Normal,ISO,2,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,19
,Normal,ISO,2,6,4,0,0,,AD142C63.257,257(0x101),0xad142c63,30
,Normal,ISO,2,6,5,0,0,,FE05B2EC.034,34(0x22),0xfe05b2ec,21
,Normal,ISO,2,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,22
,Normal,ISO,2,6,5,0,0,,CB888823.257,257(0x101),0xcb888823,31
,Normal,ISO,2,6,6,0,0,,B776B9C4.034,34(0x22),0xb776b9c4,24
,Normal,ISO,2,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,25
,Normal,ISO,2,6,6,0,0,,020EC527.257,257(0x101),0x020ec527,26
