RAIdx,OpenFlag,Type,MAIndex,Offset,Pointer,FFN,MFN
[0],0,0,0,0,0x0000,,BB1A9F3B.272
[1],0,0,1,0,0x0000,,97FA7C92.273
[2],0,0,2,0,0x0000,,F1E16EA0.032
[3],0,0,3,0,0x0000,,BDC6EBCA.036
[4],0,0,4,0,0x0000,,BDC6EBCA.037
[5],0,0,5,0,0x0000,,BDC6EBCA.038
[6],0,0,6,0,0x0000,,D1695146.052
[7],0,0,7,0,0x0000,,AA8D859D.257
[8],0,0,8,0,0x0000,,E0185A7E.257
[9],0,0,9,0,0x0000,,F3899008.034
[10],0,0,10,0,0x0000,,3E5605BA.051
[11],0,0,11,0,0x0000,,E07DDEC7.257
[12],0,0,12,0,0x0000,,9EC900A6.034
[13],0,0,13,0,0x0000,,CEF248D7.051
[14],0,0,14,0,0x0000,,5A7EABF3.257
[15],0,0,15,0,0x0000,,D19FB015.034
[16],0,0,16,0,0x0000,,77A54382.051
[17],0,0,17,0,0x0000,,49840BCB.257
[18],0,0,18,0,0x0000,,4915E882.034
[19],0,0,19,0,0x0000,,A7196429.051
[20],0,0,20,0,0x0000,,957BAFE0.257
[21],0,0,21,0,0x0000,,FE05B2EC.034
[22],0,0,22,0,0x0000,,81BCCEC4.051
[23],0,0,23,0,0x0000,,4149D5A7.257
[24],0,0,24,0,0x0000,,B776B9C4.034
[25],0,0,25,0,0x0000,,931033B7.051
[26],0,0,26,0,0x0000,,020EC527.257
[27],0,0,27,0,0x0000,,C54DC3E8.257
[28],0,0,28,0,0x0000,,79CAB197.257
[29],0,0,29,0,0x0000,,7DE3B13A.257
[30],0,0,30,0,0x0000,,AD142C63.257
[31],0,0,31,0,0x0000,,CB888823.257
