02BF	011A	FFCA	FECD	FE24	FDCC	FDBE	FDF2	FE5E	FEF4	FFA4	005C	010C	01A2	020E	0242	0234	01DC	0133	0036	FEE6	FD41	
01EF	004E	FF06	FE14	FD79	FD31	FD38	FD86	FE0E	FEC3	FF93	006D	013D	01F2	027A	02C8	02CF	0287	01EC	00FA	FFB2	FE11	
013F	FFA3	FE5F	FD75	FCE5	FCAC	FCC5	FD28	FDC8	FE98	FF85	007B	0168	0238	02D8	033B	0354	031B	028B	01A1	005D	FEC1	
00B3	FF19	FDDA	FCF6	FC6F	FC41	FC68	FCDC	FD90	FE75	FF79	0087	018B	0270	0324	0398	03BF	0391	030A	0226	00E7	FF4D	
004D	FEB5	FD79	FC9A	FC18	FBF3	FC24	FCA4	FD67	FE5C	FF71	008F	01A4	0299	035C	03DC	040D	03E8	0366	0287	014B	FFB3	
0011	FE7A	FD3F	FC62	FBE5	FBC4	FBFC	FC83	FD4E	FE4C	FF6B	0095	01B4	02B2	037D	0404	043C	041B	039E	02C1	0186	FFEF	
0000	FE69	FD2E	FC52	FBD6	FBB6	FBF0	FC79	FD46	FE48	FF6A	0096	01B8	02BA	0387	0410	044A	042A	03AE	02D2	0197	0000	
0019	FE82	FD47	FC6A	FBEC	FBCA	FC01	FC87	FD51	FE4E	FF6C	0094	01B2	02AF	0379	03FF	0436	0414	0396	02B9	017E	FFE7	
005D	FEC5	FD88	FCA8	FC26	FBFF	FC2F	FCAD	FD6D	FE60	FF72	008E	01A0	0293	0353	03D1	0401	03DA	0358	0278	013B	FFA3	
00CA	FF30	FDF0	FD0B	FC83	FC53	FC78	FCE9	FD9A	FE7B	FF7B	0085	0185	0266	0317	0388	03AD	037D	02F5	0210	00D0	FF36	
015D	FFC1	FE7C	FD91	FCFF	FCC4	FCD9	FD38	FDD5	FE9F	FF87	0079	0161	022B	02C8	0327	033C	0301	026F	0184	003F	FEA3	
0213	0072	FF28	FE35	FD97	FD4D	FD50	FD99	FE1C	FECB	FF96	006A	0135	01E4	0267	02B0	02B3	0269	01CB	00D8	FF8E	FDED	
02E9	0143	FFF1	FEF3	FE47	FDEB	FDD9	FE08	FE6E	FEFE	FFA7	0059	0102	0192	01F8	0227	0215	01B9	010D	000F	FEBD	FD17	

0A21	08DD	0794	064B	0507	03D0	02B0	01B3	00E6	0055	0009	0009	0055	00E6	01B3	02B0	03D0	0507	064B	0794	08DD	0A21	
07DD	06BD	0596	046D	0345	0227	011B	002D	FF6B	FEDF	FE96	FE96	FEDF	FF6B	002D	011B	0227	0345	046D	0596	06BD	07DD	
05E1	04EE	03F4	02F5	01F6	00FC	000F	FF3C	FE8B	FE0C	FDC9	FDC9	FE0C	FE8B	FF3C	000F	00FC	01F6	02F5	03F4	04EE	05E1	
0425	0367	02A3	01DA	010F	0046	FF87	FED8	FE46	FDDC	FDA3	FDA3	FDDC	FE46	FED8	FF87	0046	010F	01DA	02A3	0367	0425	
029B	021B	0195	010B	007F	FFF4	FF6D	FEF2	FE8A	FE3D	FE15	FE15	FE3D	FE8A	FEF2	FF6D	FFF4	007F	010B	0195	021B	029B	
0135	00F7	00B5	0072	002D	FFE9	FFA7	FF69	FF35	FF0F	FEFA	FEFA	FF0F	FF35	FF69	FFA7	FFE9	002D	0072	00B5	00F7	0135	
FFE1	FFE7	FFEE	FFF5	FFFC	0002	0009	0010	0015	0019	001C	001C	0019	0015	0010	0009	0002	FFFC	FFF5	FFEE	FFE7	FFE1	
FE8A	FED5	FF23	FF74	FFC7	0018	0069	00B2	00F1	011F	0138	0138	011F	00F1	00B2	0069	0018	FFC7	FF74	FF23	FED5	FE8A	
FD1E	FDAB	FE3D	FED3	FF6C	0003	0095	011B	018C	01DF	020B	020B	01DF	018C	011B	0095	0003	FF6C	FED3	FE3D	FDAB	FD1E	
FB8C	FC54	FD23	FDF7	FECD	FFA0	0069	011F	01B8	0227	0262	0262	0227	01B8	011F	0069	FFA0	FECD	FDF7	FD23	FC54	FB8C	
F9C5	FAC1	FBC4	FCCC	FDD3	FED5	FFC9	00A2	0157	01D9	021D	021D	01D9	0157	00A2	FFC9	FED5	FDD3	FCCC	FBC4	FAC1	F9C5	
F7BC	F8E4	FA11	FB42	FC6F	FD93	FEA3	FF95	005A	00E7	0131	0131	00E7	005A	FF95	FEA3	FD93	FC6F	FB42	FA11	F8E4	F7BC	
F569	F6B3	F802	F950	FA98	FBD2	FCF5	FDF3	FEC1	FF53	FF9F	FF9F	FF53	FEC1	FDF3	FCF5	FBD2	FA98	F950	F802	F6B3	F569	
