WorkingDir,Type,Select,nZ/SRM,nY/CT,nX/ISO,LV,ZOOM,FifName,FileName,ResId,CheckSum,TicketNo
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,0,0,0,0,0,,BB1A9F3B.272,272(0x110),0xbb1a9f3b,0
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,CT,0,0,0,0,0,,92CE60FA.273,273(0x111),0x92ce60fa,1
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,CT,0,0,0,0,0,,13015A8A.032,32(0x20),0x13015a8a,2
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,0,0,0,0,0,,BDC6EBCA.036,36(0x24),0xbdc6ebca,3
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,0,0,0,0,0,,BDC6EBCA.037,37(0x25),0xbdc6ebca,4
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,0,0,0,0,0,,BDC6EBCA.038,38(0x26),0xbdc6ebca,5
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,CT,0,0,0,0,0,,2E343B4B.043,43(0x2b),0x2e343b4b,6
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,0,0,0,0,0,,D1695146.052,52(0x34),0xd1695146,7
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,0,0,0,0,0,,F5789B01.257,257(0x101),0xf5789b01,8
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,CT,0,0,0,0,0,,9E7094CC.257,257(0x101),0x9e7094cc,9
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,1,0,0,,92E2836A.274,274(0x112),0x92e2836a,10
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,1,0,0,,F3899008.034,34(0x22),0xf3899008,11
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,12
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,1,0,0,,88B5A746.257,257(0x101),0x88b5a746,13
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,2,0,0,,92E2836A.274,274(0x112),0x92e2836a,10
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,2,0,0,,9EC900A6.034,34(0x22),0x9ec900a6,14
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,15
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,2,0,0,,4EBA7202.257,257(0x101),0x4eba7202,16
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,3,0,0,,92E2836A.274,274(0x112),0x92e2836a,10
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,3,0,0,,D19FB015.034,34(0x22),0xd19fb015,17
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,18
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,3,0,0,,F7A145D8.257,257(0x101),0xf7a145d8,19
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,4,0,0,,902E85E2.274,274(0x112),0x902e85e2,20
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,4,0,0,,4915E882.034,34(0x22),0x4915e882,21
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,22
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,4,0,0,,497217F1.257,257(0x101),0x497217f1,23
C:\cygwin\home\isaac.fong\PSIA\sphost/resource/PDVR/A/RO_RES/IQ/AR0230/DIQ/,Normal,ISO,1,6,5,0,0,,8E7A876A.274,274(0x112),0x8e7a876a,24
