RAIdx,OpenFlag,Type,MAIndex,Offset,Pointer,FFN,MFN
[0],0,0,0,0,0x0000,,BB1A9F3B.272
[1],0,0,1,0,0x0000,,92CE60FA.273
[2],0,0,2,0,0x0000,,13015A8A.032
[3],0,0,3,0,0x0000,,BDC6EBCA.036
[4],0,0,4,0,0x0000,,BDC6EBCA.037
[5],0,0,5,0,0x0000,,BDC6EBCA.038
[6],0,0,6,0,0x0000,,2E343B4B.043
[7],0,0,7,0,0x0000,,D1695146.052
[8],0,0,8,0,0x0000,,F5789B01.257
[9],0,0,9,0,0x0000,,9E7094CC.257
[10],0,0,10,0,0x0000,,92E2836A.274
[11],0,0,11,0,0x0000,,F3899008.034
[12],0,0,12,0,0x0000,,3E5605BA.051
[13],0,0,13,0,0x0000,,88B5A746.257
[14],0,0,14,0,0x0000,,9EC900A6.034
[15],0,0,15,0,0x0000,,CEF248D7.051
[16],0,0,16,0,0x0000,,4EBA7202.257
[17],0,0,17,0,0x0000,,D19FB015.034
[18],0,0,18,0,0x0000,,77A54382.051
[19],0,0,19,0,0x0000,,F7A145D8.257
[20],0,0,20,0,0x0000,,902E85E2.274
[21],0,0,21,0,0x0000,,4915E882.034
[22],0,0,22,0,0x0000,,A7196429.051
[23],0,0,23,0,0x0000,,497217F1.257
[24],0,0,24,0,0x0000,,8E7A876A.274
[25],0,0,25,0,0x0000,,FE05B2EC.034
[26],0,0,26,0,0x0000,,81BCCEC4.051
[27],0,0,27,0,0x0000,,AEFAF9DF.257
[28],0,0,28,0,0x0000,,8CFCA8CA.274
[29],0,0,29,0,0x0000,,B776B9C4.034
[30],0,0,30,0,0x0000,,931033B7.051
[31],0,0,31,0,0x0000,,7794813C.257
[32],0,0,32,0,0x0000,,386AE5C4.257
[33],0,0,33,0,0x0000,,667C6B4D.257
[34],0,0,34,0,0x0000,,D46026E3.257
[35],0,0,35,0,0x0000,,E2C9DFE8.257
[36],0,0,36,0,0x0000,,E141195C.257
