WorkingDir,Type,Select,nZ/SRM,nY/CT,nX/ISO,LV,ZOOM,FifName,FileName,ResId,CheckSum,TicketNo
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,BBAA9FCB.272,272(0x110),0xbbaa9fcb,0
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,CT,0,0,0,0,0,,179E7B9A.273,273(0x111),0x179e7b9a,1
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,95D47CE0.036,36(0x24),0x95d47ce0,2
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,95D47CE0.037,37(0x25),0x95d47ce0,3
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,95D47CE0.038,38(0x26),0x95d47ce0,4
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,CT,0,0,0,0,0,,4E2AAC74.043,43(0x2b),0x4e2aac74,5
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,FDDFE87C.046,46(0x2e),0xfddfe87c,6
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,D1695146.052,52(0x34),0xd1695146,7
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,45D2D6DE.053,53(0x35),0x45d2d6de,8
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,DC12C0CA.054,54(0x36),0xdc12c0ca,9
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,0,0,0,0,0,,64CB8820.257,257(0x101),0x64cb8820,10
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,CT,0,0,0,0,0,,B97EDA3B.257,257(0x101),0xb97eda3b,11
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ZOOM,0,0,0,0,0,,CF465E68.257,257(0x101),0xcf465e68,12
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,1,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,1,0,0,,D076DE4A.034,34(0x22),0xd076de4a,14
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,1,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,16
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,1,0,0,,03672651.257,257(0x101),0x03672651,17
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,2,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,2,0,0,,6715A23A.034,34(0x22),0x6715a23a,18
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,2,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,19
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,2,0,0,,2B784B7F.257,257(0x101),0x2b784b7f,20
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,3,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,3,0,0,,EE797E33.034,34(0x22),0xee797e33,21
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,3,0,0,,E7B13FCD.047,47(0x2f),0xe7b13fcd,22
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,23
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,3,0,0,,BE6A8F3A.257,257(0x101),0xbe6a8f3a,24
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,4,0,0,,8C60A992.274,274(0x112),0x8c60a992,25
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,4,0,0,,EE797E33.034,34(0x22),0xee797e33,21
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,4,0,0,,6B79580E.047,47(0x2f),0x6b79580e,26
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,27
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,4,0,0,,11D68802.257,257(0x101),0x11d68802,28
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,5,0,0,,8BE0AA72.274,274(0x112),0x8be0aa72,29
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,5,0,0,,EE797E33.034,34(0x22),0xee797e33,21
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,5,0,0,,6B79580E.047,47(0x2f),0x6b79580e,26
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,30
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,5,0,0,,F957FC86.257,257(0x101),0xf957fc86,31
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,6,0,0,,8B10AAE2.274,274(0x112),0x8b10aae2,32
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,6,0,0,,2E6FFA0D.034,34(0x22),0x2e6ffa0d,33
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,6,0,0,,6B79580E.047,47(0x2f),0x6b79580e,26
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,34
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,1,6,6,0,0,,91A73B11.257,257(0x101),0x91a73b11,35
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,1,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,1,0,0,,D076DE4A.034,34(0x22),0xd076de4a,14
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,1,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,16
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,1,0,0,,DCA75EBB.257,257(0x101),0xdca75ebb,36
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,2,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,2,0,0,,6715A23A.034,34(0x22),0x6715a23a,18
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,2,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,19
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,2,0,0,,8888D957.257,257(0x101),0x8888d957,37
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,3,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,3,0,0,,EE797E33.034,34(0x22),0xee797e33,21
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,3,0,0,,E7B13FCD.047,47(0x2f),0xe7b13fcd,22
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,23
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,3,0,0,,CA84DE9A.257,257(0x101),0xca84de9a,38
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,4,0,0,,8C60A992.274,274(0x112),0x8c60a992,25
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,4,0,0,,7043B89A.034,34(0x22),0x7043b89a,39
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,4,0,0,,E7B13FCD.047,47(0x2f),0xe7b13fcd,22
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,27
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,4,0,0,,B26FA57E.257,257(0x101),0xb26fa57e,40
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,5,0,0,,8BE0AA72.274,274(0x112),0x8be0aa72,29
D:\SourceCode\SVN_Cathy_V35\BSP\Internal\sphost/resource/SBC/A/RO_RES/IQ/OV4689/DIQ/,Normal,ISO,2,6,5,0,0,,7043B89A.034,34(0x22),0x7043b89a,39
