10BB	0DB7	0B05	08A7	069F	04EB	0386	0269	0189	00D8	0044	FFBC	FF28	FE77	FD97	FC7A	FB15	F961	F759	F4FB	F249	EF45	
0FE6	0CE3	0A36	07E1	05E5	0441	02F2	01EF	012E	00A0	0031	FFCF	FF60	FED2	FE11	FD0E	FBBF	FA1B	F81F	F5CA	F31D	F01A	
0F30	0C2F	0985	0736	0544	03AE	0271	0184	00DE	006E	0020	FFE0	FF92	FF22	FE7C	FD8F	FC52	FABC	F8CA	F67B	F3D1	F0D0	
0E9F	0B9E	08F6	06AC	04C1	0336	0207	012D	009C	0045	0013	FFED	FFBB	FF64	FED3	FDF9	FCCA	FB3F	F954	F70A	F462	F161	
0E35	0B34	088E	0647	0461	02DD	01B8	00EC	006B	0027	0008	FFF8	FFD9	FF95	FF14	FE48	FD23	FB9F	F9B9	F772	F4CC	F1CB	
0DF6	0AF5	0850	060A	0427	02A8	0189	00C4	004E	0014	0002	FFFE	FFEC	FFB2	FF3C	FE77	FD58	FBD9	F9F6	F7B0	F50B	F20A	
0DE4	0AE3	083D	05F8	0416	0298	017B	00B9	0045	000F	0000	0000	FFF1	FFBB	FF47	FE85	FD68	FBEA	FA08	F7C3	F51D	F21C	
0DFE	0AFD	0858	0612	042F	02AF	018F	00CA	0052	0017	0003	FFFD	FFE9	FFAE	FF36	FE71	FD51	FBD1	F9EE	F7A8	F503	F202	
0E46	0B45	089E	0657	0470	02EB	01C5	00F6	0073	002C	000A	FFF6	FFD4	FF8D	FF0A	FE3B	FD15	FB90	F9A9	F762	F4BB	F1BA	
0EB7	0BB6	090E	06C3	04D7	034A	0218	013B	00A7	004C	0015	FFEB	FFB4	FF59	FEC5	FDE8	FCB6	FB29	F93D	F6F2	F44A	F149	
0F50	0C4E	09A4	0754	0560	03C8	0287	0197	00EC	0077	0023	FFDD	FF89	FF14	FE69	FD79	FC38	FAA0	F8AC	F65C	F3B2	F0B0	
100C	0D09	0A5B	0804	0606	0460	030C	0205	013E	00AA	0035	FFCB	FF56	FEC2	FDFB	FCF4	FBA0	F9FA	F7FC	F5A5	F2F7	EFF4	
10E7	0DE1	0B2E	08CF	06C5	050D	03A4	0281	019B	00E3	0048	FFB8	FF1D	FE65	FD7F	FC5C	FAF3	F93B	F731	F4D2	F21F	EF19	

0969	0886	07A8	06D1	0605	0548	04A0	0412	03A1	0354	032C	032C	0354	03A1	0412	04A0	0548	0605	06D1	07A8	0886	0969	
076D	06A8	05E5	0527	0473	03CC	0336	02B6	0252	020C	01E8	01E8	020C	0252	02B6	0336	03CC	0473	0527	05E5	06A8	076D	
05A6	0502	0460	03C1	032A	029D	021E	01B2	015C	0120	0101	0101	0120	015C	01B2	021E	029D	032A	03C1	0460	0502	05A6	
040C	038D	0310	0296	0220	01B2	014F	00FA	00B6	0087	006E	006E	0087	00B6	00FA	014F	01B2	0220	0296	0310	038D	040C	
0294	023F	01EB	0198	0148	00FE	00BA	0080	0052	0031	0021	0021	0031	0052	0080	00BA	00FE	0148	0198	01EB	023F	0294	
0134	010B	00E2	00BA	0094	0070	004F	0032	001C	000C	0004	0004	000C	001C	0032	004F	0070	0094	00BA	00E2	010B	0134	
FFE1	FFE5	FFE9	FFED	FFF1	FFF5	FFF9	FFFC	FFFE	0000	0000	0000	0000	FFFE	FFFC	FFF9	FFF5	FFF1	FFED	FFE9	FFE5	FFE1	
FE8B	FEBD	FEEE	FF1E	FF4C	FF78	FF9F	FFC1	FFDD	FFF0	FFF9	FFF9	FFF0	FFDD	FFC1	FF9F	FF78	FF4C	FF1E	FEEE	FEBD	FE8B	
FD28	FD85	FDE1	FE3B	FE92	FEE4	FF2E	FF6D	FFA0	FFC3	FFD5	FFD5	FFC3	FFA0	FF6D	FF2E	FEE4	FE92	FE3B	FDE1	FD85	FD28	
FBAA	FC30	FCB5	FD36	FDB2	FE27	FE8F	FEE9	FF31	FF62	FF7C	FF7C	FF62	FF31	FEE9	FE8F	FE27	FDB2	FD36	FCB5	FC30	FBAA	
FA08	FAB3	FB5C	FC00	FC9D	FD30	FDB3	FE24	FE7D	FEBB	FEDA	FEDA	FEBB	FE7D	FE24	FDB3	FD30	FC9D	FC00	FB5C	FAB3	FA08	
F838	F903	F9CC	FA8E	FB47	FBF3	FC8D	FD0F	FD77	FDBE	FDE3	FDE3	FDBE	FD77	FD0F	FC8D	FBF3	FB47	FA8E	F9CC	F903	F838	
F631	F719	F7FC	F8D8	F9A8	FA67	FB12	FBA3	FC15	FC64	FC8C	FC8C	FC64	FC15	FBA3	FB12	FA67	F9A8	F8D8	F7FC	F719	F631	
