164F	1282	0F10	0BFC	094B	06FD	0511	0381	0240	013F	0065	FF9B	FEC1	FDC0	FC7F	FAEF	F903	F6B5	F404	F0F0	ED7E	E9B1	
1555	1186	0E14	0B05	085E	0620	044C	02DC	01C3	00F0	004B	FFB5	FF10	FE3D	FD24	FBB4	F9E0	F7A2	F4FB	F1EC	EE7A	EAAB	
147F	10AC	0D3A	0A2D	078D	055C	039C	0247	0151	00A9	0032	FFCE	FF57	FEAF	FDB9	FC64	FAA4	F873	F5D3	F2C6	EF54	EB81	
13D1	0FFC	0C87	097C	06E0	04B9	0308	01C9	00F1	006C	001D	FFE3	FF94	FF0F	FE37	FCF8	FB47	F920	F684	F379	F004	EC2F	
1353	0F7A	0C04	08F9	0660	043F	0299	016A	00A7	003D	000D	FFF3	FFC3	FF59	FE96	FD67	FBC1	F9A0	F707	F3FC	F086	ECAD	
1307	0F2C	0BB5	08AA	0612	03F5	0255	012F	007A	0020	0003	FFFD	FFE0	FF86	FED1	FDAB	FC0B	F9EE	F756	F44B	F0D4	ECF9	
12F1	0F16	0B9E	0893	05FC	03DF	0241	011E	006D	0018	0000	0000	FFE8	FF93	FEE2	FDBF	FC21	FA04	F76D	F462	F0EA	ED0F	
1311	0F37	0BC0	08B5	061D	03FF	025E	0137	0080	0024	0005	FFFB	FFDC	FF80	FEC9	FDA2	FC01	F9E3	F74B	F440	F0C9	ECEF	
1367	0F8F	0C19	090E	0675	0453	02AB	0179	00B3	0045	0010	FFF0	FFBB	FF4D	FE87	FD55	FBAD	F98B	F6F2	F3E7	F071	EC99	
13EE	1019	0CA5	099A	06FE	04D5	0321	01DE	0101	0076	0021	FFDF	FF8A	FEFF	FE22	FCDF	FB2B	F902	F666	F35B	EFE7	EC12	
14A4	10D2	0D60	0A53	07B2	057F	03BB	0261	0166	00B6	0037	FFC9	FF4A	FE9A	FD9F	FC45	FA81	F84E	F5AD	F2A0	EF2E	EB5C	
1582	11B3	0E41	0B31	0888	0648	0470	02F9	01DA	00FF	004F	FFB1	FF01	FE26	FD07	FB90	F9B8	F778	F4CF	F1BF	EE4D	EA7E	
1682	12B5	0F42	0C2D	097A	0729	0538	03A1	0259	014E	006B	FF95	FEB2	FDA7	FC5F	FAC8	F8D7	F686	F3D3	F0BE	ED4B	E97E	

0C8C	0B82	0A77	0970	0871	0781	06A7	05EA	0553	04E9	04B2	04B2	04E9	0553	05EA	06A7	0781	0871	0970	0A77	0B82	0C8C	
09F8	090D	0820	0735	0650	0577	04AF	0402	0376	0313	02E0	02E0	0313	0376	0402	04AF	0577	0650	0735	0820	090D	09F8	
07A0	06DB	0614	054D	0489	03CF	0322	028A	020F	01B8	018B	018B	01B8	020F	028A	0322	03CF	0489	054D	0614	06DB	07A0	
057C	04E3	0448	03AD	0313	027F	01F5	017B	0118	00D1	00AD	00AD	00D1	0118	017B	01F5	027F	0313	03AD	0448	04E3	057C	
0382	031B	02B1	0247	01DE	0179	0119	00C5	007F	004E	0034	0034	004E	007F	00C5	0119	0179	01DE	0247	02B1	031B	0382	
01A4	0172	013F	010C	00D8	00A7	0078	004E	002C	0013	0007	0007	0013	002C	004E	0078	00A7	00D8	010C	013F	0172	01A4	
FFD5	FFDA	FFE0	FFE5	FFEA	FFF0	FFF4	FFF9	FFFC	FFFF	0000	0000	FFFF	FFFC	FFF9	FFF4	FFF0	FFEA	FFE5	FFE0	FFDA	FFD5	
FE04	FE40	FE7D	FEBB	FEF9	FF35	FF6D	FF9F	FFC8	FFE6	FFF5	FFF5	FFE6	FFC8	FF9F	FF6D	FF35	FEF9	FEBB	FE7D	FE40	FE04	
FC22	FC93	FD06	FD79	FDEC	FE5B	FEC3	FF1F	FF6A	FFA0	FFBC	FFBC	FFA0	FF6A	FF1F	FEC3	FE5B	FDEC	FD79	FD06	FC93	FC22	
FA21	FAC2	FB66	FC0A	FCAC	FD48	FDD9	FE59	FEC1	FF0B	FF32	FF32	FF0B	FEC1	FE59	FDD9	FD48	FCAC	FC0A	FB66	FAC2	FA21	
F7F4	F8C1	F98F	FA5E	FB28	FBE9	FC9B	FD38	FDB6	FE10	FE3E	FE3E	FE10	FDB6	FD38	FC9B	FBE9	FB28	FA5E	F98F	F8C1	F7F4	
F591	F683	F775	F866	F950	FA2F	FAFA	FBAC	FC3A	FC9E	FCD2	FCD2	FC9E	FC3A	FBAC	FAFA	FA2F	F950	F866	F775	F683	F591	
F2F0	F400	F510	F61B	F71E	F812	F8EF	F9AE	FA47	FAB1	FAE8	FAE8	FAB1	FA47	F9AE	F8EF	F812	F71E	F61B	F510	F400	F2F0	
