047E	01D0	FF97	FDD8	FC9C	FBE7	FBB9	FC0A	FCCF	FDEE	FF49	00B7	0212	0331	03F6	0447	0419	0364	0228	0069	FE30	FB82	
0331	007C	FE40	FC84	FB51	FAAE	FA9D	FB1A	FC16	FD7A	FF21	00DF	0286	03EA	04E6	0563	0552	04AF	037C	01C0	FF84	FCCF	
0212	FF57	FD15	FB58	FA2A	F995	F99C	FA3D	FB6B	FD0D	FEFC	0104	02F3	0495	05C3	0664	066B	05D6	04A8	02EB	00A9	FDEE	
012A	FE67	FC1F	FA60	F935	F8A9	F8C2	F980	FAD8	FCAF	FEDB	0125	0351	0528	0680	073E	0757	06CB	05A0	03E1	0199	FED6	
0080	FDB7	FB6B	F9A8	F87E	F7F7	F81C	F8EF	FA66	FC66	FEC2	013E	039A	059A	0711	07E4	0809	0782	0658	0495	0249	FF80	
001C	FD4F	FAFF	F93A	F80F	F78B	F7B7	F897	FA20	FC38	FEB2	014E	03C8	05E0	0769	0849	0875	07F1	06C6	0501	02B1	FFE4	
0000	FD32	FAE1	F91C	F7F1	F76D	F79B	F87E	FA0C	FC2B	FEAE	0152	03D5	05F4	0782	0865	0893	080F	06E4	051F	02CE	0000	
002E	FD62	FB12	F94E	F824	F79F	F7CA	F8A7	FA2D	FC41	FEB5	014B	03BF	05D3	0759	0836	0861	07DC	06B2	04EE	029E	FFD2	
00A4	FDDD	FB91	F9D0	F8A5	F81D	F840	F90F	FA7F	FC76	FEC7	0139	038A	0581	06F1	07C0	07E3	075B	0630	046F	0223	FF5C	
015E	FE9D	FC57	FA98	F96D	F8DF	F8F4	F9AC	FAFA	FCC5	FEE3	011D	033B	0506	0654	070C	0721	0693	0568	03A9	0163	FEA2	
0255	FF9B	FD5B	FB9E	FA70	F9D8	F9D9	FA72	FB94	FD27	FF05	00FB	02D9	046C	058E	0627	0628	0590	0462	02A5	0065	FDAB	
0380	00CD	FE92	FCD5	FBA1	FAFA	FAE2	FB54	FC43	FD96	FF2B	00D5	026A	03BD	04AC	051E	0506	045F	032B	016E	FF33	FC80	
04D7	022B	FFF2	FE32	FCF4	FC39	FC02	FC49	FCFE	FE0C	FF53	00AD	01F4	0302	03B7	03FE	03C7	030C	01CE	000E	FDD5	FB29	

0E58	0CCA	0B29	0978	07BE	0604	0458	02D0	0184	0091	0010	0010	0091	0184	02D0	0458	0604	07BE	0978	0B29	0CCA	0E58	
0B3C	09D4	0858	06C7	0526	037E	01DB	0051	FEFD	FDFE	FD74	FD74	FDFE	FEFD	0051	01DB	037E	0526	06C7	0858	09D4	0B3C	
0876	0743	05FA	049B	0328	01A6	0020	FEA9	FD5A	FC59	FBCC	FBCC	FC59	FD5A	FEA9	0020	01A6	0328	049B	05FA	0743	0876	
05FF	050D	0407	02EC	01BD	007C	FF31	FDE7	FCB9	FBC9	FB43	FB43	FBC9	FCB9	FDE7	FF31	007C	01BD	02EC	0407	050D	05FF	
03C6	0321	026D	01A9	00D4	FFF1	FEFF	FE09	FD21	FC63	FBF6	FBF6	FC63	FD21	FE09	FEFF	FFF1	00D4	01A9	026D	0321	03C6	
01B9	016A	0113	00B4	004D	FFDD	FF64	FEE7	FE6E	FE09	FDCE	FDCE	FE09	FE6E	FEE7	FF64	FFDD	004D	00B4	0113	016A	01B9	
FFC2	FFCD	FFDA	FFE7	FFF6	0006	0017	002A	003B	004A	0053	0053	004A	003B	002A	0017	0006	FFF6	FFE7	FFDA	FFCD	FFC2	
FDC7	FE2C	FE9B	FF14	FF98	0027	00C0	015E	01F6	0275	02BF	02BF	0275	01F6	015E	00C0	0027	FF98	FF14	FE9B	FE2C	FDC7	
FBB1	FC6A	FD33	FE0F	FEFC	FFFB	0105	0213	0311	03DF	0454	0454	03DF	0311	0213	0105	FFFB	FEFC	FE0F	FD33	FC6A	FBB1	
F96A	FA6D	FB85	FCB3	FDF5	FF49	00A6	01FF	0338	042E	04B8	04B8	042E	0338	01FF	00A6	FF49	FDF5	FCB3	FB85	FA6D	F96A	
F6E0	F821	F979	FAE6	FC67	FDF4	FF84	0102	0255	0357	03E3	03E3	0357	0255	0102	FF84	FDF4	FC67	FAE6	F979	F821	F6E0	
F406	F578	F6FF	F899	FA42	FBF1	FD98	FF23	0076	0172	01FA	01FA	0172	0076	FF23	FD98	FBF1	FA42	F899	F6FF	F578	F406	
F0D2	F268	F410	F5C6	F785	F941	FAEC	FC72	FDBA	FEA9	FF28	FF28	FEA9	FDBA	FC72	FAEC	F941	F785	F5C6	F410	F268	F0D2	
