WorkingDir,Type,Select,nZ/SRM,nY/CT,nX/ISO,LV,ZOOM,FifName,FileName,ResId,CheckSum,TicketNo
,Normal,ISO,0,0,0,0,0,,BBAA9FCB.272,272(0x110),0xbbaa9fcb,0
,Normal,CT,0,0,0,0,0,,179E7B9A.273,273(0x111),0x179e7b9a,1
,Normal,ISO,0,0,0,0,0,,95D47CE0.036,36(0x24),0x95d47ce0,2
,Normal,ISO,0,0,0,0,0,,95D47CE0.037,37(0x25),0x95d47ce0,3
,Normal,ISO,0,0,0,0,0,,95D47CE0.038,38(0x26),0x95d47ce0,4
,Normal,CT,0,0,0,0,0,,4E2AAC74.043,43(0x2b),0x4e2aac74,5
,Normal,ISO,0,0,0,0,0,,FDDFE87C.046,46(0x2e),0xfddfe87c,6
,Normal,ISO,0,0,0,0,0,,D1695146.052,52(0x34),0xd1695146,7
,Normal,ISO,0,0,0,0,0,,45D2D6DE.053,53(0x35),0x45d2d6de,8
,Normal,ISO,0,0,0,0,0,,DC12C0CA.054,54(0x36),0xdc12c0ca,9
,Normal,ISO,0,0,0,0,0,,64CB8820.257,257(0x101),0x64cb8820,10
,Normal,CT,0,0,0,0,0,,B97EDA3B.257,257(0x101),0xb97eda3b,11
,Normal,ZOOM,0,0,0,0,0,,1E329B15.257,257(0x101),0x1e329b15,12
,Normal,ISO,1,6,1,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
,Normal,ISO,1,6,1,0,0,,D076DE4A.034,34(0x22),0xd076de4a,14
,Normal,ISO,1,6,1,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
,Normal,ISO,1,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,16
,Normal,ISO,1,6,1,0,0,,03672651.257,257(0x101),0x03672651,17
,Normal,ISO,1,6,2,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
,Normal,ISO,1,6,2,0,0,,6715A23A.034,34(0x22),0x6715a23a,18
,Normal,ISO,1,6,2,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
,Normal,ISO,1,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,19
,Normal,ISO,1,6,2,0,0,,2B784B7F.257,257(0x101),0x2b784b7f,20
,Normal,ISO,1,6,3,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
,Normal,ISO,1,6,3,0,0,,EE797E33.034,34(0x22),0xee797e33,21
,Normal,ISO,1,6,3,0,0,,E7B13FCD.047,47(0x2f),0xe7b13fcd,22
,Normal,ISO,1,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,23
,Normal,ISO,1,6,3,0,0,,BE6A8F3A.257,257(0x101),0xbe6a8f3a,24
,Normal,ISO,1,6,4,0,0,,8C60A992.274,274(0x112),0x8c60a992,25
,Normal,ISO,1,6,4,0,0,,EE797E33.034,34(0x22),0xee797e33,21
,Normal,ISO,1,6,4,0,0,,6B79580E.047,47(0x2f),0x6b79580e,26
,Normal,ISO,1,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,27
,Normal,ISO,1,6,4,0,0,,11D68802.257,257(0x101),0x11d68802,28
,Normal,ISO,1,6,5,0,0,,8BE0AA72.274,274(0x112),0x8be0aa72,29
,Normal,ISO,1,6,5,0,0,,EE797E33.034,34(0x22),0xee797e33,21
,Normal,ISO,1,6,5,0,0,,6B79580E.047,47(0x2f),0x6b79580e,26
,Normal,ISO,1,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,30
,Normal,ISO,1,6,5,0,0,,F957FC86.257,257(0x101),0xf957fc86,31
,Normal,ISO,1,6,6,0,0,,8B10AAE2.274,274(0x112),0x8b10aae2,32
,Normal,ISO,1,6,6,0,0,,2E6FFA0D.034,34(0x22),0x2e6ffa0d,33
,Normal,ISO,1,6,6,0,0,,6B79580E.047,47(0x2f),0x6b79580e,26
,Normal,ISO,1,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,34
,Normal,ISO,1,6,6,0,0,,91A73B11.257,257(0x101),0x91a73b11,35
,Normal,ISO,2,6,1,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
,Normal,ISO,2,6,1,0,0,,D076DE4A.034,34(0x22),0xd076de4a,14
,Normal,ISO,2,6,1,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
,Normal,ISO,2,6,1,0,0,,3E5605BA.051,51(0x33),0x3e5605ba,16
,Normal,ISO,2,6,1,0,0,,DCA75EBB.257,257(0x101),0xdca75ebb,36
,Normal,ISO,2,6,2,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
,Normal,ISO,2,6,2,0,0,,6715A23A.034,34(0x22),0x6715a23a,18
,Normal,ISO,2,6,2,0,0,,ABF2A581.047,47(0x2f),0xabf2a581,15
,Normal,ISO,2,6,2,0,0,,CEF248D7.051,51(0x33),0xcef248d7,19
,Normal,ISO,2,6,2,0,0,,8888D957.257,257(0x101),0x8888d957,37
,Normal,ISO,2,6,3,0,0,,8D40A882.274,274(0x112),0x8d40a882,13
,Normal,ISO,2,6,3,0,0,,EE797E33.034,34(0x22),0xee797e33,21
,Normal,ISO,2,6,3,0,0,,E7B13FCD.047,47(0x2f),0xe7b13fcd,22
,Normal,ISO,2,6,3,0,0,,77A54382.051,51(0x33),0x77a54382,23
,Normal,ISO,2,6,3,0,0,,CA84DE9A.257,257(0x101),0xca84de9a,38
,Normal,ISO,2,6,4,0,0,,8C60A992.274,274(0x112),0x8c60a992,25
,Normal,ISO,2,6,4,0,0,,7043B89A.034,34(0x22),0x7043b89a,39
,Normal,ISO,2,6,4,0,0,,E7B13FCD.047,47(0x2f),0xe7b13fcd,22
,Normal,ISO,2,6,4,0,0,,A7196429.051,51(0x33),0xa7196429,27
,Normal,ISO,2,6,4,0,0,,B26FA57E.257,257(0x101),0xb26fa57e,40
,Normal,ISO,2,6,5,0,0,,8BE0AA72.274,274(0x112),0x8be0aa72,29
,Normal,ISO,2,6,5,0,0,,7043B89A.034,34(0x22),0x7043b89a,39
,Normal,ISO,2,6,5,0,0,,E7B13FCD.047,47(0x2f),0xe7b13fcd,22
,Normal,ISO,2,6,5,0,0,,81BCCEC4.051,51(0x33),0x81bccec4,30
,Normal,ISO,2,6,5,0,0,,58BE204D.257,257(0x101),0x58be204d,41
,Normal,ISO,2,6,6,0,0,,8B10AAE2.274,274(0x112),0x8b10aae2,32
,Normal,ISO,2,6,6,0,0,,1021E997.034,34(0x22),0x1021e997,42
,Normal,ISO,2,6,6,0,0,,6B79580E.047,47(0x2f),0x6b79580e,26
,Normal,ISO,2,6,6,0,0,,931033B7.051,51(0x33),0x931033b7,34
,Normal,ISO,2,6,6,0,0,,33A1BB11.257,257(0x101),0x33a1bb11,43
,Normal,CT,1,1,1,0,0,,CD86BC80.032,32(0x20),0xcd86bc80,44
,Normal,CT,1,1,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,1,2,1,0,0,,D7C20227.032,32(0x20),0xd7c20227,46
,Normal,CT,1,2,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,1,3,1,0,0,,2680AE23.032,32(0x20),0x2680ae23,47
,Normal,CT,1,3,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,1,4,1,0,0,,2680AE23.032,32(0x20),0x2680ae23,47
,Normal,CT,1,4,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,1,5,1,0,0,,61219682.032,32(0x20),0x61219682,48
,Normal,CT,1,5,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,1,6,1,0,0,,CF4C2241.032,32(0x20),0xcf4c2241,49
,Normal,CT,1,6,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,2,1,1,0,0,,CD86BC80.032,32(0x20),0xcd86bc80,44
,Normal,CT,2,1,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,2,2,1,0,0,,D7C20227.032,32(0x20),0xd7c20227,46
,Normal,CT,2,2,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,2,3,1,0,0,,2680AE23.032,32(0x20),0x2680ae23,47
,Normal,CT,2,3,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,2,4,1,0,0,,2680AE23.032,32(0x20),0x2680ae23,47
,Normal,CT,2,4,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,2,5,1,0,0,,61219682.032,32(0x20),0x61219682,48
,Normal,CT,2,5,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,CT,2,6,1,0,0,,CF4C2241.032,32(0x20),0xcf4c2241,49
,Normal,CT,2,6,1,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,ZOOM,0,1,0,0,0,,76399249.055,55(0x37),0x76399249,50
,Normal,ZOOM,0,1,0,0,0,,BD801007.257,257(0x101),0xbd801007,45
,Normal,ZOOM,0,2,0,0,0,,AFA748FF.055,55(0x37),0xafa748ff,51
,Normal,ZOOM,0,2,0,0,0,,BD801007.257,257(0x101),0xbd801007,45
