10BB	0DB7	0B05	08A7	069F	04EB	0386	0269	0189	00D8	0044	FFBC	FF28	FE77	FD97	FC7A	FB15	F961	F759	F4FB	F249	EF45	
0FE6	0CE3	0A36	07E1	05E5	0441	02F2	01EF	012E	00A0	0031	FFCF	FF60	FED2	FE11	FD0E	FBBF	FA1B	F81F	F5CA	F31D	F01A	
0F30	0C2F	0985	0736	0544	03AE	0271	0184	00DE	006E	0020	FFE0	FF92	FF22	FE7C	FD8F	FC52	FABC	F8CA	F67B	F3D1	F0D0	
0E9F	0B9E	08F6	06AC	04C1	0336	0207	012D	009C	0045	0013	FFED	FFBB	FF64	FED3	FDF9	FCCA	FB3F	F954	F70A	F462	F161	
0E35	0B34	088E	0647	0461	02DD	01B8	00EC	006B	0027	0008	FFF8	FFD9	FF95	FF14	FE48	FD23	FB9F	F9B9	F772	F4CC	F1CB	
0DF6	0AF5	0850	060A	0427	02A8	0189	00C4	004E	0014	0002	FFFE	FFEC	FFB2	FF3C	FE77	FD58	FBD9	F9F6	F7B0	F50B	F20A	
0DE4	0AE3	083D	05F8	0416	0298	017B	00B9	0045	000F	0000	0000	FFF1	FFBB	FF47	FE85	FD68	FBEA	FA08	F7C3	F51D	F21C	
0DFE	0AFD	0858	0612	042F	02AF	018F	00CA	0052	0017	0003	FFFD	FFE9	FFAE	FF36	FE71	FD51	FBD1	F9EE	F7A8	F503	F202	
0E46	0B45	089E	0657	0470	02EB	01C5	00F6	0073	002C	000A	FFF6	FFD4	FF8D	FF0A	FE3B	FD15	FB90	F9A9	F762	F4BB	F1BA	
0EB7	0BB6	090E	06C3	04D7	034A	0218	013B	00A7	004C	0015	FFEB	FFB4	FF59	FEC5	FDE8	FCB6	FB29	F93D	F6F2	F44A	F149	
0F50	0C4E	09A4	0754	0560	03C8	0287	0197	00EC	0077	0023	FFDD	FF89	FF14	FE69	FD79	FC38	FAA0	F8AC	F65C	F3B2	F0B0	
100C	0D09	0A5B	0804	0606	0460	030C	0205	013E	00AA	0035	FFCB	FF56	FEC2	FDFB	FCF4	FBA0	F9FA	F7FC	F5A5	F2F7	EFF4	
10E7	0DE1	0B2E	08CF	06C5	050D	03A4	0281	019B	00E3	0048	FFB8	FF1D	FE65	FD7F	FC5C	FAF3	F93B	F731	F4D2	F21F	EF19	

0DA9	0C24	0A8F	08EE	0745	05A0	040C	029C	0167	0086	000F	000F	0086	0167	029C	040C	05A0	0745	08EE	0A8F	0C24	0DA9	
0AB0	0952	07E1	065F	04D1	033F	01B5	0047	FF0E	FE26	FDA9	FDA9	FE26	FF0E	0047	01B5	033F	04D1	065F	07E1	0952	0AB0	
080D	06E2	05A3	0451	02F0	0184	0019	FEBF	FD8F	FCA9	FC2C	FC2C	FCA9	FD8F	FEBF	0019	0184	02F0	0451	05A3	06E2	080D	
05B5	04C9	03CC	02BC	019C	006E	FF3B	FE0E	FCFF	FC2D	FBB8	FBB8	FC2D	FCFF	FE0E	FF3B	006E	019C	02BC	03CC	04C9	05B5	
039C	02FA	024B	018E	00C3	FFED	FF0D	FE2E	FD5F	FCBB	FC5E	FC5E	FCBB	FD5F	FE2E	FF0D	FFED	00C3	018E	024B	02FA	039C	
01AD	015E	0108	00AB	0046	FFDB	FF6A	FEF7	FE8B	FE33	FE01	FE01	FE33	FE8B	FEF7	FF6A	FFDB	0046	00AB	0108	015E	01AD	
FFD4	FFDD	FFE6	FFEF	FFFA	0004	0010	001C	0028	0031	0037	0037	0031	0028	001C	0010	0004	FFFA	FFEF	FFE6	FFDD	FFD4	
FDF9	FE57	FEBE	FF2E	FFA7	0028	00B0	0139	01B9	0222	025D	025D	0222	01B9	0139	00B0	0028	FFA7	FF2E	FEBE	FE57	FDF9	
FC04	FCB4	FD72	FE40	FF1C	0005	00F7	01E7	02C4	0373	03D6	03D6	0373	02C4	01E7	00F7	0005	FF1C	FE40	FD72	FCB4	FC04	
F9DF	FAD8	FBE3	FD00	FE2F	FF6A	00AA	01E1	02F8	03D0	0448	0448	03D0	02F8	01E1	00AA	FF6A	FE2F	FD00	FBE3	FAD8	F9DF	
F77B	F8B0	F9FA	FB56	FCC1	FE36	FFA9	0107	023B	0322	03A0	03A0	0322	023B	0107	FFA9	FE36	FCC1	FB56	F9FA	F8B0	F77B	
F4C8	F62E	F7A7	F930	FAC4	FC5B	FDE8	FF58	0091	0178	01F4	01F4	0178	0091	FF58	FDE8	FC5B	FAC4	F930	F7A7	F62E	F4C8	
F1BE	F349	F4E3	F689	F835	F9DC	FB70	FCDF	FE13	FEF1	FF67	FF67	FEF1	FE13	FCDF	FB70	F9DC	F835	F689	F4E3	F349	F1BE	
