   1	   2	   3	   4	   5	   6	   7	   8	   9	  10	  11	  12	  13	  14	  15	  16	  17	  18	  19	  20	
   0	 -17	 -15	 -12	  -9	  -5	  -3	   0	   1	   1	   2	 -12	   5	   8	  11	  16	  21	  27	  32	   1	
   1	 -16	 -14	 -10	  -7	  -4	  -2	   1	   1	   1	   1	 -10	   3	   5	   8	  12	  18	  24	  29	   1	
   0	 -13	 -10	  -7	  -5	  -2	   0	   0	   1	   0	   1	  -7	   2	   4	   5	  10	  13	  21	  26	   1	
   1	 -12	 -10	  -5	  -2	  -1	   1	   1	   1	   2	   1	  -5	   1	   3	   5	   7	  11	  17	  22	   1	
   2	  -9	  -8	  -4	  -2	   0	   1	   2	   2	   1	   0	  -4	   1	   1	   3	   6	  11	  15	  20	   2	
   2	  -8	  -8	  -3	  -1	   1	   1	   2	   1	   1	   0	  -3	   0	   0	   3	   6	   9	  14	  19	   1	
   3	  -8	  -7	  -4	   0	   1	   2	   3	   2	   1	   0	  -4	   0	   1	   2	   5	   8	  13	  17	   2	
   2	 -11	  -8	  -3	  -1	   1	   2	   2	   1	   0	   0	  -3	  -1	   0	   2	   5	   9	  12	  17	   1	
   2	 -12	  -9	  -4	  -1	   1	   1	   2	   1	   0	   0	  -4	   0	   0	   2	   4	   9	  13	  17	   1	
   1	 -15	  -9	  -6	  -2	  -1	   1	   1	   2	   0	   1	  -6	  -1	   1	   4	   5	   9	  12	  17	   2	
   1	 -16	 -10	  -7	  -3	  -1	   0	   1	   1	   1	   0	  -7	   1	   1	   4	   6	  12	  15	  18	   1	
   0	 -16	 -11	  -8	  -5	  -3	   0	   0	   0	   0	   0	  -8	   1	   3	   5	   9	  13	  17	  21	   0	
  -1	 -19	 -14	 -11	  -6	  -3	  -2	  -1	   1	   1	   0	 -11	   3	   4	   7	  10	  14	  19	  22	   1	
  -4	 -22	 -19	 -15	 -10	  -7	  -5	  -4	  -2	   0	   1	 -15	   2	   5	   8	  10	  14	  19	  23	  -2	
  -6	 -24	 -21	 -18	 -13	 -10	  -7	  -6	  -3	  -1	   0	 -18	   2	   5	   8	  11	  15	  19	  23	  -3	
 -118	-127	-127	-127	-127	-127	-125	-118	-112	-113	-116	-127	-124	-127	-127	-127	-127	-127	-127	-112	
  -2	 -14	 -16	 -12	 -10	  -3	   0	  -2	   1	   3	   2	 -12	  -3	  -6	 -11	 -12	  -9	  -9	 -11	   1	
   4	 -11	  -8	  -3	  -5	  -1	   3	   4	   4	   4	   3	  -3	   1	   0	  -4	  -8	  -9	  -9	 -10	   4	
   5	 -11	  -5	  -4	   2	   5	   4	   5	   6	   5	   6	  -4	   2	   3	  -1	  -2	  -5	  -6	  -8	   6	
   7	  -4	  -1	   0	   3	   4	   4	   7	   8	   8	   5	   0	   6	   4	   1	   0	  -1	  -5	  -7	   8	
   6	  -1	   1	   1	   4	   4	   7	   6	   6	   8	   9	   1	   5	   6	   4	   4	   1	  -5	  -6	   6	
   5	   6	   5	   5	   6	   4	   5	   5	   6	   7	   5	   5	   6	   5	   6	   2	   4	  -1	  -3	   6	
   1	 -12	 -10	  -5	  -2	  -1	   1	   1	   1	   2	   1	  -5	   1	   3	   5	   7	  11	  17	  22	   1	
   5	  11	   7	   8	   4	   3	   4	   5	   2	   3	   5	   8	   4	   6	   7	   7	  11	   8	   7	   2	
   4	  13	  13	  10	   8	   6	   5	   4	   1	   3	   3	  10	   6	   6	   8	  11	  13	  13	  12	   1	
   4	  18	  18	  14	  10	   7	   6	   4	   4	   4	   6	  14	   8	   6	  10	  12	  18	  17	  18	   4	
   7	  23	  20	  20	  16	  11	   7	   7	   7	   5	   6	  20	   9	  11	  14	  17	  22	  25	  24	   7	
-118	-127	-127	-127	-127	-127	-125	-118	-112	-113	-116	-127	-124	-127	-127	-127	-127	-127	-127	-112	
  19	  32	  32	  30	  25	  22	  21	  19	  18	  17	  19	  30	  24	  23	  23	  29	  31	  32	  34	  18	
  24	  36	  35	  33	  30	  27	  25	  24	  24	  23	  25	  33	  29	  29	  30	  32	  34	  36	  37	  24	
   1	 -12	 -10	  -5	  -2	  -1	   1	   1	   1	   2	   1	  -5	   1	   3	   5	   7	  11	  17	  22	   1	
  18	  88	  75	  62	  47	  35	  26	  18	  10	   2	  -5	  62	 -25	 -35	 -46	 -58	 -67	 -79	 -92	  10	
  16	  88	  75	  59	  46	  35	  24	  16	   8	   1	  -6	  59	 -21	 -32	 -43	 -53	 -69	 -80	 -92	   8	
  14	  85	  71	  56	  43	  32	  23	  14	   7	   1	  -5	  56	 -20	 -28	 -39	 -53	 -65	 -80	 -92	   7	
  13	  84	  68	  53	  40	  29	  20	  13	   7	   1	  -5	  53	 -17	 -27	 -37	 -50	 -63	 -78	 -90	   7	
  12	  82	  65	  51	  37	  27	  18	  12	   6	   1	  -4	  51	 -16	 -25	 -35	 -48	 -62	 -76	 -88	   6	
  11	  82	  63	  50	  38	  26	  18	  11	   6	   1	  -5	  50	 -15	 -24	 -33	 -46	 -61	 -73	 -87	   6	
  12	  80	  65	  49	  37	  26	  19	  12	   6	   1	  -4	  49	 -17	 -23	 -34	 -47	 -61	 -76	 -89	   6	
  12	  80	  64	  52	  37	  26	  19	  12	   6	   0	  -4	  52	 -14	 -24	 -35	 -46	 -62	 -76	 -91	   6	
  11	  82	  67	  52	  39	  28	  19	  11	   6	   1	  -4	  52	 -17	 -25	 -37	 -49	 -65	 -80	 -94	   6	
  13	  83	  69	  54	  41	  30	  20	  13	   7	   1	  -6	  54	 -19	 -28	 -39	 -53	 -65	 -84	 -95	   7	
  15	  85	  74	  56	  44	  33	  24	  15	   9	   1	  -6	  56	 -22	 -31	 -42	 -54	 -70	 -86	 -95	   9	
  17	  83	  73	  62	  48	  36	  26	  17	   8	   2	  -7	  62	 -23	 -33	 -45	 -58	 -74	 -87	 -95	   8	
  18	  81	  72	  60	  48	  36	  26	  18	   9	   0	  -9	  60	 -29	 -39	 -49	 -61	 -75	 -89	 -95	   9	
  17	  81	  70	  59	  47	  36	  26	  17	   8	  -2	 -12	  59	 -33	 -42	 -52	 -64	 -77	 -91	 -95	   8	
 108	 128	 128	 128	 122	 117	 112	 108	 107	 105	 103	 128	 108	 112	 115	 121	 128	 128	 128	 107	
-118	-127	-127	-127	-127	-127	-125	-118	-112	-113	-116	-127	-124	-127	-127	-127	-127	-127	-127	-112		
  59	  93	  89	  76	  71	  68	  61	  59	  54	  53	  55	  76	  60	  67	  73	  77	  84	  94	  99	  54	
  37	  64	  61	  53	  49	  43	  42	  37	  35	  34	  35	  53	  40	  45	  49	  54	  59	  67	  74	  35	
  21	  46	  38	  34	  33	  29	  22	  21	  19	  20	  20	  34	  24	  26	  31	  34	  38	  42	  49	  19	
   8	  29	  21	  18	  14	  12	  10	   8	   5	   7	   8	  18	   9	  11	  14	  18	  19	  22	  28	   5	
  -1	  10	   2	  -3	   0	   0	   0	  -1	  -3	  -1	  -3	  -3	  -2	  -1	   0	  -1	   2	   8	  11	  -3	
 -13	 -12	 -14	 -15	 -17	 -15	 -13	 -13	 -12	 -12	 -10	 -15	 -13	 -14	 -16	 -14	 -18	 -10	  -6	 -12	
 -22	 -35	 -41	 -31	 -32	 -28	 -26	 -22	 -23	 -23	 -21	 -31	 -25	 -26	 -28	 -29	 -37	 -26	 -27	 -23	
 -34	 -58	 -51	 -49	 -45	 -43	 -37	 -34	 -35	 -32	 -34	 -49	 -36	 -42	 -44	 -49	 -55	 -54	 -54	 -35	
 -52	 -86	 -74	 -68	 -63	 -60	 -53	 -52	 -48	 -47	 -46	 -68	 -52	 -58	 -62	 -68	 -74	 -82	 -82	 -48	
 -71	-116	-102	 -93	 -84	 -80	 -74	 -71	 -67	 -67	 -67	 -93	 -72	 -76	 -83	 -92	 -99	-104	-108	 -67	
 -92	-127	-127	-120	-113	-102	 -97	 -92	 -91	 -86	 -91	-120	 -95	-100	-110	-120	-126	-127	-127	 -91	
-118	-127	-127	-127	-127	-127	-125	-118	-112	-113	-116	-127	-124	-127	-127	-127	-127	-127	-127	-112	
-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	-127	
